127.0.0.1	78zg	44
127.0.0.1	de	0
127.0.0.1	de	0
127.0.0.1	de	0
127.0.0.1	de	0
127.0.0.1	de	de	29
127.0.0.1	de	de	62
127.0.0.1	de	de	23
127.0.0.1	de	de	58
127.0.0.1	de	de	38
127.0.0.1	de	de	0
127.0.0.1	de	de	98
127.0.0.1	de	de	0
127.0.0.1	de	de	0
127.0.0.1	de	de	0
127.0.0.1	de	de	0
127.0.0.1	de	de	0
127.0.0.1	de	de	61
127.0.0.1	de	de	38
127.0.0.1	de	de	0
127.0.0.1	de	de	0
127.0.0.1	de	de	0
127.0.0.1	de	de	23
127.0.0.1	de	de	17
172.23.36.20	j	jj	83
127.0.0.1	j	jj	0
127.0.0.1	de	de	17
127.0.0.1	de	de	0
172.23.36.20	de	de	0
172.23.36.20	j	jj	23
172.23.36.20	de	de	58
127.0.0.1	na	na	48
127.0.0.1	na	na	3
